"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"001006","Almese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6375,"p","dato provvisorio"
"024003","Alonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1599,"p","dato provvisorio"
"001007","Alpette","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",246,"p","dato provvisorio"
"001008","Alpignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",16811,"p","dato provvisorio"
"033002","Alseno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4697,"p","dato provvisorio"
"072004","Altamura","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",70563,"p","dato provvisorio"
"009005","Altare","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2001,"p","dato provvisorio"
"064002","Altavilla Irpina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4123,"p","dato provvisorio"
"082004","Altavilla Milicia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",8376,"p","dato provvisorio"
"065005","Altavilla Silentina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7061,"p","dato provvisorio"
"024004","Altavilla Vicentina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",11935,"p","dato provvisorio"
"109001","Altidona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3546,"p","dato provvisorio"
"069001","Altino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3119,"p","dato provvisorio"
"024005","Altissimo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2172,"p","dato provvisorio"
"026001","Altivole","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7006,"p","dato provvisorio"
"004005","Alto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",137,"p","dato provvisorio"
"078009","Altomonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4320,"p","dato provvisorio"
"046001","Altopascio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",15731,"p","dato provvisorio"
"055003","Alviano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1428,"p","dato provvisorio"
"061003","Alvignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4714,"p","dato provvisorio"
"016008","Alzano Lombardo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",13683,"p","dato provvisorio"
"006008","Alzano Scrivia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",364,"p","dato provvisorio"
"013007","Alzate Brianza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4900,"p","dato provvisorio"
"065006","Amalfi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5004,"p","dato provvisorio"
"109002","Amandola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3471,"p","dato provvisorio"
"078010","Amantea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",14075,"p","dato provvisorio"
"030002","Amaro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",849,"p","dato provvisorio"
"079003","Amaroni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1773,"p","dato provvisorio"
"060005","Amaseno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4288,"p","dato provvisorio"
"079004","Amato","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",796,"p","dato provvisorio"
"057002","Amatrice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2381,"p","dato provvisorio"
"016009","Ambivere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2392,"p","dato provvisorio"
"011001","Ameglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4364,"p","dato provvisorio"
"055004","Amelia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",11852,"p","dato provvisorio"
"078011","Amendolara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2854,"p","dato provvisorio"
"003002","Ameno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",958,"p","dato provvisorio"
"062002","Amorosi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2702,"p","dato provvisorio"
"030003","Ampezzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",959,"p","dato provvisorio"
"063004","Anacapri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7042,"p","dato provvisorio"
"060006","Anagni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",21152,"p","dato provvisorio"
"067002","Ancarano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1855,"p","dato provvisorio"
"079005","Andali","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",690,"p","dato provvisorio"
"022005","Andalo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1124,"p","dato provvisorio"
"014003","Andalo Valtellino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",587,"p","dato provvisorio"
"001009","Andezeno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2058,"p","dato provvisorio"
"009006","Andora","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7493,"p","dato provvisorio"
"096002","Andorno Micca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3130,"p","dato provvisorio"
"075005","Andrano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4726,"p","dato provvisorio"
"001010","Andrate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",495,"p","dato provvisorio"
"093001","Andreis","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",244,"p","dato provvisorio"
"064003","Andretta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1765,"p","dato provvisorio"
"021002","Andriano/Andrian","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1038,"p","dato provvisorio"
"017005","Anfo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",467,"p","dato provvisorio"
"012003","Angera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5497,"p","dato provvisorio"
"051001","Anghiari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5470,"p","dato provvisorio"
"023003","Angiari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2315,"p","dato provvisorio"
"065007","Angri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",34340,"p","dato provvisorio"
"058005","Anguillara Sabazia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",19499,"p","dato provvisorio"
"071003","Anzano di Puglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1185,"p","dato provvisorio"
"076004","Anzi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1597,"p","dato provvisorio"
"058007","Anzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",57951,"p","dato provvisorio"
"037001","Anzola dell'Emilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",12389,"p","dato provvisorio"
"103002","Anzola d'Ossola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",406,"p","dato provvisorio"
"041002","Apecchio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1787,"p","dato provvisorio"
"062003","Apice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5537,"p","dato provvisorio"
"043002","Apiro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2126,"p","dato provvisorio"
"062004","Apollosa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2588,"p","dato provvisorio"
"013010","Appiano Gentile","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7767,"p","dato provvisorio"
"021004","Appiano sulla strada del vino/Eppan an der Weinstraße","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",14932,"p","dato provvisorio"
"043003","Appignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4121,"p","dato provvisorio"
"044005","Appignano del Tronto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1722,"p","dato provvisorio"
"014004","Aprica","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1546,"p","dato provvisorio"
"008002","Apricale","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",622,"p","dato provvisorio"
"078012","Aprigliano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2690,"p","dato provvisorio"
"059001","Aprilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",74961,"p","dato provvisorio"
"065008","Aquara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1423,"p","dato provvisorio"
"008003","Aquila d'Arroscia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",153,"p","dato provvisorio"
"064004","Aquilonia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1580,"p","dato provvisorio"
"060007","Aquino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5163,"p","dato provvisorio"
"075006","Aradeo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",9152,"p","dato provvisorio"
"084003","Aragona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",9195,"p","dato provvisorio"
"093002","Arba","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1318,"p","dato provvisorio"
"095006","Arborea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3844,"p","dato provvisorio"
"002006","Arborio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",863,"p","dato provvisorio"
"026002","Arcade","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4548,"p","dato provvisorio"
"060008","Arce","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5597,"p","dato provvisorio"
"016011","Arcene","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4858,"p","dato provvisorio"
"042003","Arcevia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4325,"p","dato provvisorio"
"053001","Arcidosso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4283,"p","dato provvisorio"
"058008","Arcinazzo Romano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1286,"p","dato provvisorio"
"012004","Arcisate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",10089,"p","dato provvisorio"
"022006","Arco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",17927,"p","dato provvisorio"
"023004","Arcole","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6354,"p","dato provvisorio"
"015007","Arconate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6694,"p","dato provvisorio"
"108004","Arcore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",18028,"p","dato provvisorio"
"090005","Ardara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",760,"p","dato provvisorio"
